Pennycress_Protein,PennycressGeneID,Domain1,Domain2,GO Terms,ArabidopsisGeneID,Arabidopsis_Protein_Name,Entrez_geneID
CAH2079848.1,TAV2_LOCUS23568,TPR-like,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT5G39350,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","833931	"
CAH2079854.1,TAV2_LOCUS25659,EID1-LIKE F-BOX PROTEIN 2-RELATED,F-box protein EID1-like,-,AT5G39360,"EID1-like	2	","833932	"
CAH2079855.1,TAV2_LOCUS25658,CaM_binding_2,"Calmodulin-binding domain, plant",GO:0005516,AT5G39380,"Plant	calmodulin-binding	protein-like	protein	","833934	"
CAH2079868.1,TAV2_LOCUS24070,PTP_PTEN,"PTEN,  phosphatase domain",GO:0016791,AT5G39400,"Calcium/lipid-binding	(CaLB)	phosphatase	","833936	"
CAH2079880.1,TAV2_LOCUS25646,Sec7,Sec7 domain,GO:0005085|GO:0032012,AT5G39500,"GNOM-like	1	","833946	"
CAH2079890.1,TAV2_LOCUS23046,TLD,TLDc domain,-,AT5G39590,"TLD-domain	containing	nucleolar	protein	","833955	"
CAH2079897.1,TAV2_LOCUS23662,CYCLIC DOF FACTOR 2,Dof zinc finger protein,GO:0003700|GO:0006355,AT5G39660,"cycling	DOF	factor	2	","833962	"
CAH2079912.1,TAV2_LOCUS25984,Immunoglobulins,Immunoglobulin-like fold,-,AT5G39790,"PROTEIN	TARGETING	TO	STARCH	(PTST)	","833975	"
CAH2079914.1,TAV2_LOCUS25385,NAC domain,NAC domain superfamily,GO:0003677|GO:0006355,AT5G39820,"NAC	domain	containing	protein	94	","833978	"
CAH2079920.1,TAV2_LOCUS23716,Mitochondrial degradasome RNA helicase subunit C terminal,"Mitochondrial degradasome RNA helicase subunit, C-terminal domain",GO:0016817,AT5G39840,"ATP-dependent	RNA	helicase	","833980	"
CAH2079939.1,TAV2_LOCUS22764,Glutaredoxin,Glutaredoxin,-,AT5G39865,"Glutaredoxin	family	protein	","833983	"
CAH2079940.1,TAV2_LOCUS22763,TRANSMEMBRANE PROTEIN,-,0,AT5G39880,"uncharacterized	protein	","833985	"
CAH2079941.1,TAV2_LOCUS22761,UNCHARACTERIZED,Cysteine oxygenase/2-aminoethanethiol dioxygenase,GO:0016702,AT5G39890,"2-aminoethanethiol	""dioxygenase,""	putative	(DUF1637)	","833986	"
CAH2079942.1,TAV2_LOCUS22762,TRANSLATION FACTOR GUF1-RELATED,Elongation factor 4,GO:0005525,AT5G39900,"Small	GTP-binding	protein	","833987	"
CAH2079947.1,TAV2_LOCUS24154,Thioredoxin,Thioredoxin domain,-,AT5G39950,"thioredoxin	2	","833992	"
CAH2079965.1,TAV2_LOCUS23176,Glucose / Sorbosone dehydrogenase,Glucose/Sorbosone dehydrogenase,-,AT5G39970,"catalytics	","833994	"
CAH2079977.1,TAV2_LOCUS23172,Core-2/I-Branching enzyme,"Glycosyl transferase, family 14",GO:0016020|GO:0016757,AT5G39990,"Core-2/I-branching	""beta-1,6-N-acetylglucosaminyltransferase""	family	protein	","833996	"
CAH2079982.1,TAV2_LOCUS24538,Protein kinase domain,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT5G40030,"Protein	kinase	superfamily	protein	","834000	"
CAH2079984.1,TAV2_LOCUS23782,PR5,Thaumatin family,-,AT5G40020,"Pathogenesis-related	thaumatin	superfamily	protein	","833999	"
CAH2079993.1,TAV2_LOCUS25779,Nucleotidyl transferase,Nucleotidyl transferase domain,GO:0009058|GO:0016779,AT2G04650,"ADP-glucose	pyrophosphorylase	family	protein	","815007	"
CAH2079994.1,TAV2_LOCUS25782,Cullin family,"Cullin, N-terminal",GO:0006511|GO:0031625,AT2G04660,"anaphase-promoting	complex/cyclosome	2	","815008	"
CAH2079999.1,TAV2_LOCUS25777,NAF domain,NAF domain,GO:0007165,AT5G35410,"Protein	kinase	superfamily	protein	","833502	"
CAH2080000.1,TAV2_LOCUS24442,CREG,Cellular repressor of E1A-stimulated genes (CREG),-,AT2G04690,"Pyridoxamine	5'-phosphate	oxidase	family	protein	","815012	"
CAH2080003.1,TAV2_LOCUS24441,Armadillo/beta-catenin-like repeat,Armadillo,GO:0005515,AT5G40140,"RING/U-box	superfamily	protein	with	ARM	repeat	domain-containing	protein	","834011	"
CAH2080006.1,TAV2_LOCUS23261,Ankyrin repeats (3 copies),Ankyrin repeat,GO:0005515,AT5G40160,"Ankyrin	repeat	family	protein	","834014	"
CAH2080009.1,TAV2_LOCUS24435,PDZ domain,PDZ domain,GO:0005515,AT5G40200,"DegP	protease	9	","834018	"
CAH2080010.1,TAV2_LOCUS24974,WAT1-RELATED PROTEIN,WAT1-related protein,GO:0016021|GO:0022857,AT5G40210,"nodulin	MtN21	/EamA-like	transporter	family	protein	","834019	"
CAH2080015.1,TAV2_LOCUS24969,Ring finger domain,"Zinc finger, RING-type",-,AT5G40250,"RING/U-box	superfamily	protein	","834023	"
CAH2080017.1,TAV2_LOCUS24968,Sugar efflux transporter for intercellular exchange,SWEET sugar transporter,GO:0016021,AT5G40260,"Nodulin	MtN3	family	protein	","834024	"
CAH2080019.1,TAV2_LOCUS24966,GERANYLGERANYL TRANSFERASE TYPE BETA SUBUNIT,Prenyltransferase subunit beta,GO:0008318,AT5G40280,"Prenyltransferase	family	protein	","834026	"
CAH2080020.1,TAV2_LOCUS23589,Casparian strip membrane protein domain,Casparian strip membrane protein domain,-,AT5G40300,"Uncharacterized	protein	family	(UPF0497)	","834028	"
CAH2080029.1,TAV2_LOCUS24080,Protein of unknown function (DUF1645),"Protein of unknown function DUF1645, plant",-,AT3G27880,"hypothetical	protein	(DUF1645)	","822408	"
CAH2080033.1,TAV2_LOCUS24075,MYB TRANSCRIPTION FACTOR-RELATED-RELATED,"MYB-like transcription factor EOBI/EOBII-like, plant",GO:0003700|GO:0006355|GO:0043565,AT5G40350,"myb	domain	protein	24	","834033	"
CAH2080041.1,TAV2_LOCUS22678,Salt stress response/antifungal,Gnk2-homologous domain,-,AT5G40380,"cysteine-rich	RLK	(RECEPTOR-like	protein	kinase)	42	","834036	"
CAH2080042.1,TAV2_LOCUS22679,CYTOCHROME C OXIDASE SUBUNIT 5C-2-RELATED,Cytochrome c oxidase subunit 5c,GO:0005746,AT5G40382,"Cytochrome	c	oxidase	subunit	Vc	family	protein	","6241321	"
CAH2080043.1,TAV2_LOCUS22683,Aldolase class I,Aldolase-type TIM barrel,-,AT5G40390,"Raffinose	synthase	family	protein	","834037	"
CAH2080045.1,TAV2_LOCUS22684,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT5G40400,"Pentatricopeptide	repeat	(PPR)	superfamily	protein	","834038	"
CAH2080051.1,TAV2_LOCUS23202,Oleosin,Oleosin,GO:0012511|GO:0016021,AT5G40420,"oleosin	2	","834040	"
CAH2080053.1,TAV2_LOCUS23207,consensus disorder prediction,-,0,AT5G40450,"A-kinase	anchor-like	protein	","834043	"
CAH2080055.1,TAV2_LOCUS23205,LRR_CC_2,"Leucine-rich repeat, cysteine-containing subtype",-,AT5G40470,"RNI-like	superfamily	protein	","834045	"
CAH2080058.1,TAV2_LOCUS25498,serkin_6,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT5G40440,"mitogen-activated	protein	kinase	kinase	3	","834042	"
CAH2080061.1,TAV2_LOCUS25495,#N/A,#N/A,#N/A,AT1G56415,"uncharacterized	protein	","2745834	"
CAH2080066.1,TAV2_LOCUS25492,rrm1_1,RNA recognition motif domain,GO:0003723,AT5G40490,"RNA-binding	(RRM/RBD/RNP	motifs)	family	protein	","834047	"
CAH2080068.1,TAV2_LOCUS24873,Hypothetical methyltransferase,Ribosomal RNA processing protein 8,GO:0008168,AT5G40530,"S-adenosyl-L-methionine-dependent	methyltransferases	superfamily	protein	","834051	"
CAH2080079.1,TAV2_LOCUS24083,Surfeit locus protein 2 (SURF2),Surfeit locus protein 2,-,AT5G40570,"Surfeit	locus	protein	2	(SURF2)	","834055	"
CAH2080086.1,TAV2_LOCUS25605,Kelch motif,Kelch-type beta propeller,GO:0005515,AT1G23390,"Kelch	repeat-containing	F-box	family	protein	","838947	"
CAH2080089.1,TAV2_LOCUS25598,Cysteine-rich domain,C1-like domain superfamily,-,AT5G40590,"Cysteine/Histidine-rich	C1	domain	family	protein	","834057	"
CAH2080090.1,TAV2_LOCUS25599,NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus,"Glycerol-3-phosphate dehydrogenase, NAD-dependent, N-terminal",GO:0016616|GO:0046168|GO:0051287,AT5G40610,"NAD-dependent	glycerol-3-phosphate	dehydrogenase	family	protein	","834060	"
CAH2080094.1,TAV2_LOCUS25603,Ubiquitin family,Ubiquitin-like domain,GO:0005515,AT5G40630,"Ubiquitin-like	superfamily	protein	","834062	"
CAH2080098.1,TAV2_LOCUS25851,Cleavage site for pathogenic type III effector avirulence factor Avr,"RIN4, pathogenic type III effector avirulence factor Avr cleavage site",-,AT5G40645,"RPM1-interacting	protein	4	(RIN4)	family	protein	","834064	"
CAH2080100.1,TAV2_LOCUS23310,ATP12 chaperone protein,"ATP12, ATP synthase F1-assembly protein",GO:0043461,AT5G40660,"ATP12	protein-like	protein	","834066	"
CAH2080101.1,TAV2_LOCUS25918,PQ loop repeat,PQ-loop repeat,-,AT5G40670,"PQ-loop	repeat	family	protein	/	transmembrane	family	protein	","834067	"
CAH2080103.1,TAV2_LOCUS23308,TPX2 (TARGETING PROTEIN FOR XKLP2) PROTEIN FAMILY-RELATED,Protein WVD2-like 7,-,AT5G40700,"transcriptional	regulator	ATRX-like	protein	","834070	"
CAH2080106.1,TAV2_LOCUS23032,#N/A,#N/A,#N/A,AT5G40730,"arabinogalactan	protein	24	","834073	"
CAH2080107.1,TAV2_LOCUS23033,UNCHARACTERIZED,HAUS augmin-like complex subunit 6,GO:0051225|GO:0070652,AT5G40740,"HAUS	augmin-like	complex	subunit	","834074	"
CAH2080113.1,TAV2_LOCUS23037,consensus disorder prediction,-,0,AT5G40790,"uncharacterized	protein	","834079	"
CAH2080122.1,TAV2_LOCUS24374,SCC1 / RAD21 FAMILY MEMBER,Rad21/Rec8-like protein,GO:0007062|GO:0008278,AT5G40840,"Rad21/Rec8-like	family	protein	","834084	"
CAH2080123.1,TAV2_LOCUS24373,SUMT,Uroporphyrin-III C-methyltransferase,GO:0008168|GO:0019354,AT5G40850,"urophorphyrin	methylase	1	","834085	"
CAH2080124.1,TAV2_LOCUS24376,OS01G0920100 PROTEIN,At3g27210-like,-,AT5G40860,"uncharacterized	protein	","834087	"
CAH2080131.1,TAV2_LOCUS24010,Nucleotide-diphospho-sugar transferase,Nucleotide-diphospho-sugar transferase,-,AT5G40900,"Nucleotide-diphospho-sugar	transferase	family	protein	","834091	"
CAH2080134.1,TAV2_LOCUS24004,FAS1 domain,FAS1 domain superfamily,-,AT5G40940,"putative	fasciclin-like	arabinogalactan	protein	20	","834095	"
CAH2080136.1,TAV2_LOCUS25356,RIBOSOMAL PROTEIN L27,Ribosomal protein L27,GO:0003735|GO:0005840|GO:0006412,AT5G40950,"ribosomal	protein	large	subunit	27	","834097	"
CAH2080137.1,TAV2_LOCUS25351,Protein of unknown function (DUF3339),Protein of unknown function DUF3339,-,AT5G40960,"transmembrane	""protein,""	putative	(DUF	3339)	","834098	"
CAH2080141.1,TAV2_LOCUS25354,"DNA-DIRECTED RNA POLYMERASES I, II, AND III","DNA-directed RNA polymerases I, II, and III subunit RPABC4",GO:0003899|GO:0008270,AT5G41010,"DNA	directed	RNA	""polymerase,""	7	kDa	subunit	","834103	"
CAH2080142.1,TAV2_LOCUS25353,Homeodomain-like,Homeobox-like domain superfamily,-,AT5G41020,"myb	family	transcription	factor	","834104	"
CAH2080143.1,TAV2_LOCUS25352,-,Chloramphenicol acetyltransferase-like domain superfamily,-,AT5G41040,"HXXXD-type	acyl-transferase	family	protein	","834106	"
CAH2080152.1,TAV2_LOCUS24796,DSRM_AtDRB-like_rpt1,"AtDRB-like, first double-stranded RNA binding domain, plant",GO:0003725,AT5G41070,"dsRNA-binding	protein	5	","834109	"
CAH2080153.1,TAV2_LOCUS24797,Phosphatidylinositol (PI) phosphodiesterase,"PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily",GO:0006629|GO:0008081,AT5G41080,"PLC-like	phosphodiesterases	superfamily	protein	","834110	"
CAH2080155.1,TAV2_LOCUS22502,HYDROXYPROLINE-RICH GLYCOPROTEIN-LIKE,Uncharacterized protein At2g33490-like,-,AT5G41100,"hydroxyproline-rich	glycoprotein	family	protein	","834112	"
CAH2080156.1,TAV2_LOCUS22495,DUF4210_2,Domain of unknown function DUF4210,-,AT5G41110,"meiosis	chromosome	segregation	family	protein	","834113	"
CAH2080160.1,TAV2_LOCUS22499,ERCC4_2,ERCC4 domain,GO:0003677|GO:0004518,AT5G41150,"Restriction	""endonuclease,""	type	II-like	superfamily	protein	","834117	"
CAH2080171.1,TAV2_LOCUS25727,finulus,"Myc-type, basic helix-loop-helix (bHLH) domain",GO:0046983,AT5G41315,"basic	helix-loop-helix	(bHLH)	DNA-binding	superfamily	protein	","834133	"
CAH2080172.1,TAV2_LOCUS25728,consensus disorder prediction,-,0,AT5G41320,"stress	response	NST1-like	protein	","834134	"
CAH2080173.1,TAV2_LOCUS23418,BTB/POZ domain,Potassium channel tetramerisation-type BTB domain,GO:0051260,AT5G41330,"BTB/POZ	domain	with	WD40/YVTN	repeat-like	protein	","834135	"
CAH2080176.1,TAV2_LOCUS23416,"Zinc/RING finger domain, C3HC4 (zinc finger)","Zinc finger, RING/FYVE/PHD-type",-,AT5G41350,"RING/U-box	superfamily	protein	","834137	"
CAH2080181.1,TAV2_LOCUS23411,ZINC FINGER PROTEIN CONSTANS-LIKE 4,Zinc finger protein CONSTANS-like,GO:0009909,AT5G41380,"CCT	motif	family	protein	","834140	"
CAH2080184.1,TAV2_LOCUS23823,Homeobox KN domain,Homeobox KN domain,GO:0003677|GO:0006355,AT5G41410,"POX	(plant	homeobox)	family	protein	","834143	"
CAH2080185.1,TAV2_LOCUS23822,ring_2,"Zinc finger, RING-type",-,AT5G41430,"RING/U-box	superfamily	protein	","834144	"
CAH2080186.1,TAV2_LOCUS23818,"Protein of unknown function, DUF604",Protein of unknown function DUF604,-,AT5G41460,"transferring	glycosyl	group	transferase	(DUF604)	","834147	"
CAH2080189.1,TAV2_LOCUS23815,NTF2-like,NTF2-like domain superfamily,-,AT5G41470,"Nuclear	transport	factor	2	(NTF2)	family	protein	","834148	"
CAH2080207.1,TAV2_LOCUS23560,DET1- AND DDB1-ASSOCIATED PROTEIN 1,DET1- and DDB1-associated protein 1,GO:0032434,AT5G41560,"DET1	complexing	ubiquitin	ligase	","834158	"
CAH2080208.1,TAV2_LOCUS25443,WRKY_cls,WRKY domain,GO:0003700|GO:0006355|GO:0043565,AT5G41570,"WRKY	DNA-binding	protein	24	","834159	"
CAH2080209.1,TAV2_LOCUS24501,MIZ/SP-RING zinc finger,"Zinc finger, MIZ-type",GO:0008270,AT5G41580,"RING/U-box	superfamily	protein	","834160	"
CAH2080213.1,TAV2_LOCUS23563,Tubby C-terminal domain-like,"Tubby-like, C-terminal",-,AT5G41590,"LURP-one-like	protein	(DUF567)	","834161	"
CAH2080216.1,TAV2_LOCUS25853,Sodium/hydrogen exchanger family,Cation/H+ exchanger,GO:0006812|GO:0015299|GO:0016021|GO:0055085,AT5G41610,"cation/H+	exchanger	18	","834163	"
CAH2080217.1,TAV2_LOCUS24859,GB|AAF24581.1,Protein BRANCHLESS TRICHOME-like,-,AT5G41620,"intracellular	protein	transporter	USO1-like	protein	","834164	"
CAH2080220.1,TAV2_LOCUS22768,Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase,Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase,-,AT5G41650,"Lactoylglutathione	lyase	/	glyoxalase	I	family	protein	","834167	"
CAH2080234.1,TAV2_LOCUS24124,COP1-INTERACTIVE PROTEIN 1,-,0,AT5G41780,"myosin	heavy	chain-like	protein	","834183	"
CAH2080238.1,TAV2_LOCUS24128,BNAC06G42460D PROTEIN,-,0,AT5G41810,"Avr9/Cf-9	rapidly	elicited	protein	","834186	"
CAH2080243.1,TAV2_LOCUS22733,"primase_sml: putative DNA primase, eukaryotic-type, small subunit","DNA primase, small subunit, eukaryotic/archaeal",GO:0003896|GO:0006269,AT5G41880,"DNA	primase	POLA3	","834193	"
CAH2080245.1,TAV2_LOCUS22735,TESTIS DEVELOPMENT PROTEIN PRTD,KAT8 regulatory NSL complex subunit 3/Testis-expressed sequence 30 protein,-,AT5G41850,"alpha/beta-Hydrolases	superfamily	protein	","834190	"
CAH2080247.1,TAV2_LOCUS22729,GDSL-like Lipase/Acylhydrolase,GDSL lipase/esterase,GO:0016788,AT5G41890,"GDSL-like	Lipase/Acylhydrolase	superfamily	protein	","834194	"
CAH2080251.1,TAV2_LOCUS25030,Ypt/Rab-GAP domain of gyp1p,Rab-GTPase-TBC domain superfamily,-,AT5G41940,"Ypt/Rab-GAP	domain	of	gyp1p	superfamily	protein	","834199	"
CAH2080252.1,TAV2_LOCUS25028,UNCHARACTERIZED,Putative nuclease HARBI1-like,-,AT5G41980,"nuclease	","834203	"
CAH2080259.1,TAV2_LOCUS23646,ABL INTERACTOR FAMILY MEMBER,ABI family,-,AT5G42030,"ABL	interactor-like	protein	4	","834208	"
CAH2080261.1,TAV2_LOCUS23648,-,DCD domain-containing protein NRP-like,GO:0034976,AT5G42050,"DCD	(Development	and	Cell	Death)	domain	protein	","834210	"
CAH2080262.1,TAV2_LOCUS23647,consensus disorder prediction,-,0,AT5G42070,"uncharacterized	protein	","834212	"
CAH2080264.1,TAV2_LOCUS25942,LUNG SEVEN TRANSMEMBRANE RECEPTOR,Transmembrane protein GPR107/GPR108-like,GO:0016021,AT5G42090,"Lung	seven	transmembrane	receptor	family	protein	","834214	"
CAH2080265.1,TAV2_LOCUS23650,Glycosyl hydrolases family 17,Glycoside hydrolase family 17,GO:0004553|GO:0005975,AT5G42100,"beta-1,3-glucanase""	","834215	"
CAH2080266.1,TAV2_LOCUS24387,BNAUNNG00100D PROTEIN,-,0,AT5G42110,"uncharacterized	protein	","834216	"
CAH2080268.1,TAV2_LOCUS23649,HMA,"Heavy metal-associated domain, HMA",GO:0046872,AT2G18196,"Heavy	metal	transport/detoxification	superfamily	protein	","816334	"
CAH2080429.1,TAV2_LOCUS26135,TRIHELIX TRANSCRIPTION FACTOR ASIL2,Trihelix transcription factor ASIL1/2-like,-,AT3G24490,"Alcohol	dehydrogenase	transcription	factor	Myb/SANT-like	family	protein	","822039	"
CAH2080445.1,TAV2_LOCUS26147,Flavin containing amine oxidoreductase,Amine oxidase,GO:0016491,AT3G04870,"zeta-carotene	desaturase	","819647	"
CAH2080446.1,TAV2_LOCUS26146,-,"Sugar-phosphate isomerase, RpiB/LacA/LacB superfamily",GO:0005975|GO:0016853,AT3G04880,"DNA-damage-repair/toleration	protein	(DRT102)	","819648	"
CAH2080462.1,TAV2_LOCUS26174,Leucine rich repeat,Leucine-rich repeat,GO:0005515,AT1G72300,"Leucine-rich	receptor-like	protein	kinase	family	protein	","843562	"
CAH2080493.1,TAV2_LOCUS26201,IscS: cysteine desulfurase IscS,Cysteine desulfurase IscS,GO:0030170|GO:0031071|GO:0044571,AT5G65720,"nitrogen	fixation	S	(NIFS)-like	1	","836701	"
CAH2080552.1,TAV2_LOCUS26259,Domain of unknown function (DUF3511),Protein of unknown function DUF3511,-,AT4G09890,"mediator	of	RNA	polymerase	II	transcription	""subunit,""	putative	(DUF3511)	","826579	"
CAH2080594.1,TAV2_LOCUS26295,FASCICLIN-LIKE ARABINOGALACTAN PROTEIN,"Fasciclin-like arabinogalactan protein, group A",-,AT2G04780,"FASCICLIN-like	arabinoogalactan	7	","815021	"
CAH2080620.1,TAV2_LOCUS26327,-,Isopenicillin N synthase-like superfamily,-,AT5G48020,"2-oxoglutarate	(2OG)	and	Fe(II)-dependent	oxygenase	superfamily	protein	","834853	"
CAH2080628.1,TAV2_LOCUS26332,finulus,"Myc-type, basic helix-loop-helix (bHLH) domain",GO:0046983,AT3G20680,"plant/protein	(DUF1995)	","821615	"
CAH2080649.1,TAV2_LOCUS26351,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT2G18940,"Tetratricopeptide	repeat	(TPR)-like	superfamily	protein	","816411	"
CAH2080690.1,TAV2_LOCUS26388,TRANSMEMBRANE PROTEIN,-,0,AT4G16850,"uncharacterized	protein	","827393	"
CAH2033726.1,TAV2_LOCUS3932,Domain of unknown function DUF220,Domain of unknown function DUF220,-,,,
CAH2034474.1,TAV2_LOCUS403,F-box domain,F-box-like domain superfamily,GO:0005515,,,
CAH2034667.1,TAV2_LOCUS3800,#N/A,#N/A,#N/A,,,
CAH2034944.1,TAV2_LOCUS2583,"OXYGEN-EVOLVING ENHANCER PROTEIN 3-1, CHLOROPLASTIC",Oxygen-evolving enhancer protein 3,GO:0005509|GO:0009523|GO:0009654|GO:0015979|GO:0019898,,,
CAH2035342.1,TAV2_LOCUS533,DNase I-like,Endonuclease/exonuclease/phosphatase superfamily,-,,,
CAH2035362.1,TAV2_LOCUS3076,#N/A,#N/A,#N/A,,,
CAH2035401.1,TAV2_LOCUS2008,consensus disorder prediction,-,0,,,
CAH2035426.1,TAV2_LOCUS2512,#N/A,#N/A,#N/A,,,
CAH2035635.1,TAV2_LOCUS1484,"REPLICATION FACTOR A 1, RFA1",Replication factor A protein 1,GO:0003677|GO:0005634|GO:0006260|GO:0006281|GO:0006310,,,
CAH2035720.1,TAV2_LOCUS3094,#N/A,#N/A,#N/A,,,
CAH2035725.1,TAV2_LOCUS3097,#N/A,#N/A,#N/A,,,
CAH2035823.1,TAV2_LOCUS1417,#N/A,#N/A,#N/A,,,
CAH2035968.1,TAV2_LOCUS2776,RNI-like,-,0,,,
CAH2036065.1,TAV2_LOCUS2252,consensus disorder prediction,-,0,,,
CAH2036279.1,TAV2_LOCUS1977,consensus disorder prediction,-,0,,,
CAH2036413.1,TAV2_LOCUS94,#N/A,#N/A,#N/A,,,
CAH2037273.1,TAV2_LOCUS1454,FBD,FBD domain,-,,,
CAH2037579.1,TAV2_LOCUS1081,UBIQUINOL-CYTOCHROME C REDUCTASE COMPLEX 7.8 KDA PROTEIN,"Cytochrome b-c1 complex, subunit 6",GO:0005750|GO:0006122,,,
CAH2039264.1,TAV2_LOCUS812,#N/A,#N/A,#N/A,,,
CAH2043479.1,TAV2_LOCUS7271,BOLA-LIKE PROTEIN-RELATED,BolA-like protein 2,GO:0051537|GO:0097428,,,
CAH2044701.1,TAV2_LOCUS6496,#N/A,#N/A,#N/A,,,
CAH2045329.1,TAV2_LOCUS7617,short chain dehydrogenase,Short-chain dehydrogenase/reductase SDR,-,,,
CAH2045548.1,TAV2_LOCUS5077,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,,,
CAH2047022.1,TAV2_LOCUS5886,#N/A,#N/A,#N/A,,,
CAH2047041.1,TAV2_LOCUS7679,#N/A,#N/A,#N/A,,,
CAH2047120.1,TAV2_LOCUS4979,Endonuclease/exonuclease/phosphatase,Endonuclease/exonuclease/phosphatase superfamily,-,,,
CAH2047148.1,TAV2_LOCUS5459,zinc-binding in reverse transcriptase,Reverse transcriptase zinc-binding domain,-,,,
CAH2047287.1,TAV2_LOCUS6130,#N/A,#N/A,#N/A,,,
CAH2047443.1,TAV2_LOCUS6359,SGNH hydrolase,SGNH hydrolase superfamily,-,,,
CAH2047463.1,TAV2_LOCUS5156,#N/A,#N/A,#N/A,,,
CAH2047515.1,TAV2_LOCUS7937,Domain of unknown function (DUF4216),Domain of unknown function DUF4216,-,,,
CAH2047638.1,TAV2_LOCUS5839,FBD,FBD domain,-,,,
CAH2047713.1,TAV2_LOCUS7006,FBD,FBD domain,-,,,
CAH2047747.1,TAV2_LOCUS6569,Endonuclease/exonuclease/phosphatase,Endonuclease/exonuclease/phosphatase superfamily,-,,,
CAH2047982.1,TAV2_LOCUS5755,#N/A,#N/A,#N/A,,,
CAH2048074.1,TAV2_LOCUS7459,Aminotransferase class I and II,"Aminotransferase, class I/classII",GO:0009058|GO:0030170,,,
CAH2051534.1,TAV2_LOCUS11298,DNase I-like,Endonuclease/exonuclease/phosphatase superfamily,-,,,
CAH2051907.1,TAV2_LOCUS10412,Protein of unknown function (DUF1264),Oil body-associated protein-like,-,,,
CAH2052114.1,TAV2_LOCUS11521,Ribosomal protein S12 signature,Ribosomal protein S12/S23,GO:0003735|GO:0005840|GO:0006412,,,
CAH2052116.1,TAV2_LOCUS11522,Ribosomal protein S12/S23,Ribosomal protein S12/S23,GO:0003735|GO:0005840|GO:0006412,,,
CAH2052122.1,TAV2_LOCUS10372,MATURASE K,Maturase MatK,GO:0006397|GO:0009507,,,
CAH2052181.1,TAV2_LOCUS10479,#N/A,#N/A,#N/A,,,
CAH2052433.1,TAV2_LOCUS8823,CHLOROPHYLL A/B BINDING PROTEIN,"Chlorophyll A-B binding protein, plant and chromista",GO:0009765|GO:0016020,,,
CAH2052596.1,TAV2_LOCUS10837,Glycosyl hydrolase family 1,Glycoside hydrolase family 1,GO:0004553|GO:0005975,,,
CAH2052602.1,TAV2_LOCUS10839,GLYCOSYL HYDROLASE,Glycoside hydrolase family 1,GO:0004553|GO:0005975,,,
